"minerID","location_code","location","start","end","REC_purchase"
"f0151371","[""AS-CN-EAST-JS""]","Asia - Mainland China - East - Jiangsu","2021-10-01","2022-01-01",444
"f0504467","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f01381814","[""NA-US-SOUTH-TX""]","North America - USA - South - Texas","2021-10-01","2022-01-01",1
"f090052","[""AS-CN-EAST-JS""]","Asia - Mainland China - East - Jiangsu","2020-06-01","2021-01-01",1
"f096224","[""AS-CN-SOUTHWEST-CQ""]","Asia - Mainland China - Southwest - Chongqing","2020-06-01","2021-01-01",1
"f063173","[""AS-KR""]","Asia - Korea","2020-06-01","2021-01-01",1
"f01203627","[""AS-CN-XX""]","Asia - Mainland China - Others Combined","2021-07-01","2021-10-01",1
"f01136274","[""NA-US-SOUTH-FL""]","North America - USA - South - Florida","2021-07-01","2021-10-01",1
"f0242416","[""NA-US-NORTHEAST-NJ""]","North America - USA - Northeast - New Jersey","2021-01-01","2021-04-01",1
"f0242416","[""NA-US-NORTHEAST-NJ""]","North America - USA - Northeast - New Jersey","2021-04-01","2021-07-01",1
"f01038389","[""AS-HK""]","Asia - Hong Kong","2021-04-01","2021-07-01",16
"f01038389","[""AS-HK""]","Asia - Hong Kong","2021-07-01","2021-10-01",5925
"f01038389","[""AS-HK""]","Asia - Hong Kong","2021-10-01","2022-01-01",5809
"f01782","[""AS-CN-EAST-SH""]","Asia - Mainland China - East - Shanghai","2020-06-01","2021-01-01",10010
"f01782","[""AS-CN-EAST-SH""]","Asia - Mainland China - East - Shanghai","2021-01-01","2021-04-01",2370
"f01782","[""AS-CN-EAST-SH""]","Asia - Mainland China - East - Shanghai","2021-04-01","2021-07-01",2396
"f01782","[""AS-CN-EAST-SH""]","Asia - Mainland China - East - Shanghai","2021-07-01","2021-10-01",2423
"f01782","[""AS-CN-EAST-SH""]","Asia - Mainland China - East - Shanghai","2021-10-01","2022-01-01",2423
"f0469055","[""AS-HK""]","Asia - Hong Kong","2021-04-01","2021-07-01",1118
"f0469055","[""AS-HK""]","Asia - Hong Kong","2021-07-01","2021-10-01",2264
"f0469055","[""AS-HK""]","Asia - Hong Kong","2021-10-01","2022-01-01",6084
"f017242","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2020-06-01","2021-01-01",750
"f017242","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-01-01","2021-04-01",177
"f017242","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-07-01","2021-10-01",4555
"f017242","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-10-01","2022-01-01",4349
"f02303","[""EU-WEST-DE""]","Europe - Western Europe - Germany","2020-06-01","2021-01-01",7520
"f02303","[""EU-WEST-DE""]","Europe - Western Europe - Germany","2021-01-01","2021-04-01",2117
"f02303","[""EU-WEST-DE""]","Europe - Western Europe - Germany","2021-04-01","2021-07-01",1969
"f02303","[""EU-WEST-DE""]","Europe - Western Europe - Germany","2021-07-01","2021-10-01",1992
"f02303","[""EU-WEST-DE""]","Europe - Western Europe - Germany","2021-10-01","2022-01-01",1991
"f0144313","[""AS-CN-NORTH-SD""]","Asia - Mainland China - North - Shandong","2021-01-01","2021-04-01",3953
"f0144313","[""AS-CN-NORTH-SD""]","Asia - Mainland China - North - Shandong","2021-04-01","2021-07-01",2443
"f0144313","[""AS-CN-NORTH-SD""]","Asia - Mainland China - North - Shandong","2021-07-01","2021-10-01",3447
"f0144313","[""AS-CN-NORTH-SD""]","Asia - Mainland China - North - Shandong","2021-10-01","2022-01-01",1987
"f0827934","[""NA-US-NORTHEAST-NY""]","North America - USA - Northeast - New York","2021-04-01","2021-07-01",1
"f0827934","[""NA-US-NORTHEAST-NY""]","North America - USA - Northeast - New York","2021-07-01","2021-10-01",1
"f0827934","[""NA-US-NORTHEAST-NY""]","North America - USA - Northeast - New York","2021-10-01","2022-01-01",1
"f01121994","[""AS-CN-SOUTH-GX""]","Asia - Mainland China - South - Guangxi","2021-07-01","2021-10-01",1
"f088404","[""AS-KR""]","Asia - Korea","2020-06-01","2021-01-01",1
"f01118185","[""NA-US-XX""]","North America - USA - Others Combined","2021-07-01","2021-10-01",1
"f01155864","[""NA-US-XX""]","North America - USA - Others Combined","2021-07-01","2021-10-01",1
"f01155864","[""NA-US-XX""]","North America - USA - Others Combined","2021-10-01","2022-01-01",5
"f01096590","[""EU-EAST-RU""]","Europe - Eastern Europe - Russia","2021-07-01","2021-10-01",1
"f0230827","[""AS-KR""]","Asia - Korea","2021-01-01","2021-04-01",1
"f0228388","[""NA-US-MIDWEST-XX""]","North America - USA - Midwest - Others Combined","2021-01-01","2021-04-01",1
"f01211218","[""NA-US-WEST-CA""]","North America - USA - West - California","2021-07-01","2021-10-01",1
"f01211218","[""NA-US-WEST-CA""]","North America - USA - West - California","2021-10-01","2022-01-01",1
"f0984915","[""AS-CN-NORTH-TJ""]","Asia - Mainland China - North - Tianjin","2021-04-01","2021-07-01",1
"f0121533","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-01-01","2021-04-01",2
"f0121533","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-04-01","2021-07-01",1
"f0121533","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-07-01","2021-10-01",1
"f0121533","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-10-01","2022-01-01",1
"f01063481","[""NA-US-SOUTH-XX""]","North America - USA - South - Others Combined","2021-04-01","2021-07-01",1
"f01112287","[""EU-EAST-UA""]","Europe - Eastern Europe - Ukraine","2021-07-01","2021-10-01",1
"f0880167","[""NA-US-WEST-CA""]","North America - USA - West - California","2021-04-01","2021-07-01",1
"f095049","[""AS-KR""]","Asia - Korea","2020-06-01","2021-01-01",1
"f0347476","[""AS-CN-NORTH-HA""]","Asia - Mainland China - North - Henan","2021-01-01","2021-04-01",1
"f01148258","[""AS-CN-NORTH-BJ""]","Asia - Mainland China - North - Beijing","2021-07-01","2021-10-01",1
"f0522078","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-04-01","2021-07-01",1
"f0755598","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f0755605","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f023462","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2020-06-01","2021-01-01",8
"f023462","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-01-01","2021-04-01",4
"f023462","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-04-01","2021-07-01",6
"f023462","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-07-01","2021-10-01",7
"f023462","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-10-01","2022-01-01",5
"f01437863","[""AS-KR""]","Asia - Korea","2021-10-01","2022-01-01",1
"f01414904","[""AS-KR""]","Asia - Korea","2021-10-01","2022-01-01",1
"f0859880","[""AS-CN-SOUTHWEST-SC""]","Asia - Mainland China - Southwest - Sichuan","2021-04-01","2021-07-01",1
"f0126535","[""AS-HK""]","Asia - Hong Kong","2021-01-01","2021-04-01",1
"f0883732","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f01227510","[""AS-KR""]","Asia - Korea","2021-07-01","2021-10-01",1
"f01227510","[""AS-KR""]","Asia - Korea","2021-10-01","2022-01-01",1
"f01192508","[""AS-CN-XX""]","Asia - Mainland China - Others Combined","2021-07-01","2021-10-01",1
"f01175050","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-07-01","2021-10-01",1
"f01167953","[""AS-CN-EAST-SH""]","Asia - Mainland China - East - Shanghai","2021-07-01","2021-10-01",1
"f01141947","[""AS-KR""]","Asia - Korea","2021-07-01","2021-10-01",1
"f01124728","[""AS-JP""]","Asia - Japan","2021-07-01","2021-10-01",1
"f01115274","[""AS-JP""]","Asia - Japan","2021-07-01","2021-10-01",1
"f01096727","[""AS-KR""]","Asia - Korea","2021-07-01","2021-10-01",1
"f01096727","[""AS-KR""]","Asia - Korea","2021-10-01","2022-01-01",1
"f01040707","[""AS-CN-NORTH-TJ""]","Asia - Mainland China - North - Tianjin","2021-04-01","2021-07-01",1
"f01040707","[""AS-CN-NORTH-TJ""]","Asia - Mainland China - North - Tianjin","2021-07-01","2021-10-01",1
"f01038170","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-04-01","2021-07-01",1
"f01019009","[""AS-CN-NORTH-HA""]","Asia - Mainland China - North - Henan","2021-04-01","2021-07-01",1
"f01019009","[""AS-CN-NORTH-HA""]","Asia - Mainland China - North - Henan","2021-07-01","2021-10-01",1
"f0715707","[""AS-JP""]","Asia - Japan","2021-04-01","2021-07-01",1
"f0607157","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-04-01","2021-07-01",1
"f0755645","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f0429006","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-01-01","2021-04-01",1
"f01472022","[""AS-KR""]","Asia - Korea","2021-10-01","2022-01-01",3
"f01396576","[""AS-CN-XX""]","Asia - Mainland China - Others Combined","2021-10-01","2022-01-01",1
"f01363460","[""NA-US-SOUTH-GA""]","North America - USA - South - Georgia","2021-10-01","2022-01-01",1
"f0151281","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-01-01","2021-04-01",502
"f0151281","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-04-01","2021-07-01",807
"f0151281","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-07-01","2021-10-01",736
"f0151281","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-10-01","2022-01-01",434
"f01025366","[""AS-CN-NORTH-SD""]","Asia - Mainland China - North - Shandong","2021-04-01","2021-07-01",80
"f01025366","[""AS-CN-NORTH-SD""]","Asia - Mainland China - North - Shandong","2021-07-01","2021-10-01",629
"f01025366","[""AS-CN-NORTH-SD""]","Asia - Mainland China - North - Shandong","2021-10-01","2022-01-01",1713
"f020618","[""AS-SG""]","Asia - Singapore","2020-06-01","2021-01-01",1783
"f056226","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2020-06-01","2021-01-01",322
"f056226","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-01-01","2021-04-01",1014
"f056226","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-04-01","2021-07-01",332
"f056226","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-07-01","2021-10-01",676
"f056226","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-10-01","2022-01-01",421
"f061740","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2020-06-01","2021-01-01",188
"f061740","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-01-01","2021-04-01",314
"f061740","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-04-01","2021-07-01",301
"f061740","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-07-01","2021-10-01",1040
"f061740","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2021-10-01","2022-01-01",420
"f01250837","[""AS-KR""]","Asia - Korea","2021-07-01","2021-10-01",269
"f01250837","[""AS-KR""]","Asia - Korea","2021-10-01","2022-01-01",1356
